Title,Discount,Undiscounted_price,Discounted_price
"VILLAON V20SE 5.0"" 4GB RAM+32GB Storage 8MP Camera-3000mAh Dual Sim",37%,"KSh 7,499","4,700"
Infinix Buds Lite XE23 Active Vocal Clear Earbuds - White,40%,"KSh 1,000",599
Istanbul 2 Modern TV Stand With LED Lights,22%,"KSh 8,500","6,599"
3PCS Oxford Cloth Lunch Bags,51%,"KSh 1,555",768
Fashion Ring Silver Plated Heart Moon Design Inlaid Opal Ring For Women & Men,50%,KSh 506,252
"Ice Silk Sexy Underwear Pants 1pcs,  Thongï¼ŒT-back , Black",49%,KSh 390,200
Jumia Books The Smart Money Tribe,38%,KSh 800,500
Julz Modern Design Coffee Table With Storage,33%,"KSh 12,000","7,999"
ASHION 2024 Men's Panties Underpant Underwear 4-piece,54%,"KSh 1,232",561 - KSh 730
Machislet Europe And The United States Women's Fashion Long Sleeve Loose Dreeses,47%,"KSh 1,280",673
HP EliteBook 820 G1 Intel Core I5 6th Gen 8GB RAM 256GB SSD 12.5 Inches,30%,"KSh 29,000","20,200"
20PCS Refrigerator Food Seal Pocket,50%,KSh 900,450
